Id;Review_text
86;Me encanta todo desde que compro hasta cuando me lo entregan muy eficaz
87;Pésimo .... me cancelaron mi pedido sin motivo alguno
88;Están muy cómodas y bonitas el color me gusta la talla está bien
89;El producto es exactamente como el que se muestra en las fotos de referencia
90;Las tallas no coinciden con las medias que figuran en la guía de la página web tuve que cambiar el producto por una talla más grande porque no me quedó como esperaba
91;Me gustó el modelo como el de la foto
92;Compré una máquina de coser de juguete y me enviaron una waflera de juguete. Llevo ya 5 días y aún no me hacen el cambio.
93;Justo la tela y color que queria
94;Me gusta por qué respetan el precio del producto hasta el momento no me han cancelado ningún producto
95;Me dieron una talla que no era
96;Deben de ofertar productos en buenas condiciones el hecho de ser liquidación no significa vender productos en malas condiciones.
97;Bonitos detalles tal cual la publicación
98;cancelaron mi compra sin dar una explicación razonable
99;Me la cancelaron y me.mandan correo y no ponen el porq de la cancelacion solo ponen se cancelo pésimo
100;Excelente producto pero la página web por donde lo pedí es muy lenta y no me dejó aplicar el descuento oeapp no se porque la entrega fue el mismo día un éxito pero recalco la app muy lenta y no me dejo aplicar un descuentp
101;Compré el producto hace unos días y me cancelaron la entrega.
102;el peor producto que jamás volvería a comprar es una zapatilla descartable para usar solo una vez a la primera lavada se malogra. todo desilachado y ya no sirve. recomendación lo no compren esta marca de mala calidad
103;Excelente servicio recomendadisimo.
104;LO COMPRE RECIEN Y BUEN MATERIAL ORIGINAL
105;Me gusto mucho el reloj tiene varias funciones. Los audífonos son bien prácticos. Estoy contenta con el producto
106;La talla es tal cual lo informan.
107;Todo muy rápido y eficiente. Muy amable el personal.
108;Excelente producto en buen estado
109;Es la segunda vez que pido un producto y luego cancelan mi pedido estoy al espera de un reembolso
110;No recibí un mensaje a mi correo para confirmar el retiro de mi compra.Ví en la web y decía que ya podía recoger mis productos. Fuí al lugar y me dijeron que no hay nada.
111;Lo pedí pero finalmente no lo facturaron y nisiquiera me avisaron
112;FUE UNA AGRADABLE EXPERIENCIA RAPIDA Y CO TODA LA INFORMACION NECESARIA
113;Compre dos roperos y solo me dieron 1 se cobraron 2 y el trato es pesimo
114;Me encanta el Producto  talla  modelo y color
115;Las zapatillas están hermosas . Tal cual como aparece en la publicidad
116;Nunca llego el producto uno compra y luego lo cancelan
117;Incapacidad de corregir datos de envío y posterior retraso en entrega de producto
118;La entrega fue super rapida las zapatillas son comodas muy bonitas y el precio super accesible
119;Pedi en talla 37 y me dieron en talla 38 1/3 me fui a cambiar y me dieron en 37 1/3 y me queda muy grande 😔☹️. No sé si podría hacer cambio de nuevo 😔😔
120;compre hace unos dias el producto y muy util para mi necesidad
121;lo compro virtual el producto pq me sale disponible en tienda y cuando leo el correo enviado me sale q la fecha APROXIMADA de recojo en tienda es a fin de mes todavía.PÉSIMO
122;Me gustaron porque se veen elegantes
123;En la descripción de este producto dice que viene instalado y armado a diferencia de otros roperos
124;Sobre los productos no doy detalle xq el mío aún no ah llegado ..
125;lo compré y es tal cual la foto
126;Está bonito la zapatilla me encantó
127;El equipo tiene las características descritas en su página web conforme con la compra
128;Se ve que es un producto bastante bien manufacturado y con materiales fuertes
129;Lo compre en este tono hace un tiempo y ya me lo acabo. Yo ya conocía su consistencia y todo y normal. Ya sé que es bueno. Este tono me queda bien y yo soy blanca. Es amarillo me gusta para contrarrestar las rojeces un poco y obvio la ojeras. Para pieles muy oscuras no recomiendo. Diría de claras a medias. Cobertura media hay que sellarlo pero antes dejar que se asiente en arrugas. Luego quitar el exceso con el dedo y después sellarlo.
130;Es una decepción comprara en oeschle te envian productos para recoger a distintas direcciones y encima envían mensajes de código sin indicar el tipo de compra es un desorden total por eso la gente no quiere comprar.
131;Tal cual la foto bonito acabado y modelo
132;Compré el blazer hace una semana y tiene un corte y entalle perfecto. Recomendable.
133;La compra muy bueno y excelente la entrega
134;Compré mi tv y me encanta por el servicio q nos dan al cliente
135;Me cancelaron el pedido. No dieron motivo
136;Pedí una talla y me mandaron otra cuando voy a cambiar el producto ya no había ningún talla. Encima perdí tiempo pasaje flete. Una estupidez
137;Lo trajeron muy rapido y esta tal cual esta en el anuncio
138;Compré este producto (zapatillas)hace dos días muy buena compra
139;Lo compre ayer veremos cómo va
140;compre este producto y no llego la talla que solicite y el empaque en mal estado.
141;Me cancelaron la compra a pesar de aparecer como disponible en la App.
142;Muy pequeño de la parte de adelante
143;Lindo color buen armado y corte buena calidad talla completa. Soy talla 30
144;Compre un producto que están en la web y al día siguientes me dicen que no tienen en stock. Y fácilmente hacen la devolución de dinero.
145;Compré un libro Corefo 4 años con retiro en tienda. La fecha programada fue para el 12 de marzo  y hasta ahora nada.
146;Hace tiempo compré otra y tiene buen rendimiento
147;Rápida atención. Y muy buena tambien
148;Súper cómodas bonitas y casuales para todos los looks!
149;Buenos productos buenos precios
150;Me siento satisfecha con el producto elegido
151;Siempre lo compro ahí a buen precio
152;El material es bueno y cómodo  envío rápido.
153;Estoy encantado con oeschle gracias por sus buenos precio y promociones y respetar al cliente
154;Estoy feliz con mis zapatos lindo modelo
155;Pedí una talla y me mandaron otra y por este motivo perdí el 20% adicional con el app de oeschle ya que use el cupón en esa compra
156;Compre este producto y me encanto me llego tal y cual a la foto.
157;La compra se realizo con éxito sin embargo la cancelaron
158;Con respecto al producto su tirante estaba descosido tuve que regresar a la tienda para que me cambiarán de producto porque cuando lo utilice se salió el tirante. Y eso que lo revise antes de llevármelo al parecer estaba apenas la cosida. Molestias con el personal ya que la srta estaba tan despistada que olvidó darme mi dni y ni contar que cuando le di mi dni lo puso en su mesa de una manera muy tosca.
159;Amo este producto es mejor de lo q pensaba
160;Me entregaron otra talla diferente a la compra
161;Compré el producto y fui rechazado y no me enviaron ningún correo explicando los detalles.
162;Compré estas sandalias por su comodidad de uso.Muy descansados
163;Equipo cumple con mis expextativas
164;Hice la compra por la oferta pero me cancelaron la compra según ellos por qué mi banco retuvo el importe se llamo al banco y no hay dicha retención lástima por esta empresa
165;Compré este producto y me encanta
166;mala experiencia lo que quise comprar ...no todo estaba disponible para recoger ni enviar y lo único que compre lo cancelaron
167;La calidad del producto es buena lo devolví por que el producto me quedó grande.
168;Me gustó que sean tan rápidos con los pedidos por internet
169;Compré este producto esta semana. Buena calidad y muy buen precio.
170;Nada me entregaron son unas mierd
171;me cancelaron el pedido no me informan y no me devuelven mi plata.
172;Compré un par de zapatillas por la web escogiendo la talla con los centímetros descritos que se acomodan a mi y resulta que no que son muy estrechos pésimas medidas de Oeshle
173;Feliz con mi compra.  Mil Gracias
174;Me encantó mi zapatillas !!Están muy bonitas.Gracias
175;Lo compré para mi madre y está contenta por más zapatillas. Recomendadas.
176;TALLA COMPLETA ESTOY SATISFECHA CON MI COMPRA.
177;Lo probé en la tienda estoy a la espera de la entrega. El proceso de compra online fue preciso y la boleta de compra me llegó en los tiempos acordados con información constante sobre el estado de mi compra
178;Me llego en la fecha indicada y el producto buena calidad
179;CANCELARON MI PEDIDO DE LA NADA CUANDO YA ESTABA CONFIRMADO MI PAGO Y YA ME DEBITARON DE LO TARJETA
180;seria mejor si pudieramos elijir la entrada del audifono ya que casi tenemos celulares actualizados gracias
181;No deberían de cobrar el envío por cada prenda no me parece debe de ser un solo pago x tus comprar no x unidad
182;Compre el producto y no me llegó el tv
183;Compre estos productos porque ya tengo otros colores y son excelentes
184;Siempre compro este producto y siempre en ofertas
185;Todo excelente me encanta sus descuentos.
186;Compré este producto el dia 11/03 y a pesar de pagar dentro de horario y todo me cancelaron la compra sin motivo alguno al día siguiente. Para que ponen ofertas si no cumpliran con la entrega es publicidad engañosa.
187;Pero no hay talla pequeñas 38 39
188;Hice la compra de una promoción y me cancelaron la compra sin motivos  exijo me respeten el precio y cumplan con la entrega de la TV 70 QLED ya que si hubo o no error de digitacion eso es tema de su empresa y deben respetar lo publicado se supone que hoy era la entrega de mi compra pero me siento engañado espero tener una respuesta por parte de ustedes.
189;Compre este producto y me anularon la compra
190;Me cancelaron el producto  y no me dijeron por qué
191;Compré éste producto y estoy feliz
192;El productos estubo a precio justo
193;Lindo diseño y hermosa tela Hay mucha diferencia de calidad  entre las marcas Sfera es de alta calidad
194;Compré este producto hace un dia
195;Hermosa mochila espaciosa si color es bonito tal cual muestra la foto
196;Buen acabado pero la tela es delgada y se nota que es calidad
197;La camisa que recibí estaba amarillenta como si hubiese estado mucho tiempo guardada.
198;Compre el producto ayer lo recogí y llegue a casa y el taper vino fallado no cierra
199;El producto es tal cual como se ve en la foto. Es bueno resistente y lindo. Lo malo fue que compré el servicio de armado online pero el personal que hace la entrega no es el mismo que hace el armado y programan el armado para 24/48hs desde la entrega. Tuve que cancelar el servicio de armado porque no podia demorar otro día para esperarlos.
200;Buen servicio a la hora de la rapidez y eficacia
201;Me encantó no se pegan y salen las donas esponjositas
202;En la imagen dice regalo un control mágico pero nunca me llego el control magic
203;Llego en menos de lo esperado costo de envio bastante bajo. Me ahorro tiempo y dinero. Gracias.
204;Quisimos comprar el paddle e intentamos como 10 veces. Siempre nos cancelaban la compra. Pésimo.
205;La atención en el centro comercial fue grata
206;Pedí los cubiertos para mi pequeño y me llegaron otro modelo de otra marca y para niña.
207;lo encontré rápido y compre fácil
208;Compre  de manera online y me gustó el buzo muy bonito y la atención al recoger el buzo fue excelente. Muy rápido y eficiente la atención en megaplaza oechsle.  El único detalle fue que la página si me estaba demorando en realizar la compra pero después de muchos intentos si lo pude comprar 👍👍👍👍😃
209;Indignada que me hayan cancelado el producto
210;La tela está bien no es gruesa y tampoco delgada que se trasparenta. Ideal para cuando tienes que trabajar en verano
211;Compre 3 productos estuvieron disponibles al segundo díaEstoy muy contenta por eso y por el trato de la srta. que atiende en la entregaBien por eso !!
212;Igual que la foto super cómodas
213;Bueno de acuerdo a su precio ofrecido
214;Ya se cobraron y hasta ahora no dicen si me reembolsaran cuando o me darán el producto. Encima nadie contesta. No compro más x la web.
215;Compre un producto por internet y me lo cancelan después de un día mala atención deberían de actualizar su página cobran el producto y después tenemos que esperar días para la devolución del dinero. Es pésima
216;compre el enterizo la semana pasada y me gusto aunque me quedo un poco grande
217;El producto cumple todas las expectativas propias de la marca el color es muy bonito parece un tono beige o nude estoy feliz con la compra.
218;En dos ocasiones compre el producto y después de una semana me dicen que no hay stockpero lo siguen publicando x web
219;Puse la opción de armado de bicicleta con cobro hasta el momento no se han contactado para completar el servicio
220;Lo pedi por delivery pero solo es el camisón no es la parte de abajo final de la falda como se ve en la foto ni tampoco viene el cinturón.
221;Me gusto la mochila muy bonita
222;Compre el producto y cuando lo prendí solo funciono como tres minutos y después de eso solo prende la luz pero no depila.
223;Hola! Me puedes compartir por favor las medidas de la cartera quiero saber si entra mi laptop
224;Pésimo servicio pusieron en venta una zapatillas que ellos mismos cancelaron la compra aún no hacen la devolución.
225;Muy bueno conforme a las especificaciones se ve bastante sólido y bien construido funciona bien con Laptop de 15.6. Lo recomiendo.
226;Me gustó mucho la rapidez y seguridad del envio
227;Compre este producto y llego a tiempo y en buen estado leo joven de atención fue muy respetuoso y gentil.
228;El equipo vino sellado y en buen estado.
229;Plataforma de compra muy amigable rápida y segura.
230;Entrega rápida la talla está bien. En resumen 🤑🤑
231;Compré mi producto y llegó bastante rápido y en excelentes condiciones
232;Chevere estuvo bien la compra  y el producto
233;Buena Experiencia súper rápido todo
234;Ya van dos veces que realizo compra de zapatillas con ustedes y me mandan la talla diferente a lo que pido cuando llamo y les consulto porque lo hacen me indican es que la talla que solicito se acabó  entonces si no tienen lo que solicité no me envíen nada para no perder mi tiempo yendo a cambiar a unas de sus tiendas  estoy cansado de su poca consideracion
235;Mw encanta recien rstoy usandolo
236;Es fresca para el verano talla completa.
237;Un polo de los que pedí vino con hueco.. encima tuve que yo ir a reclamar a uña tienda y eso es para Ami una perdida de tiempo.
238;Recién me llego ayer aun no lo pruebo
239;bonita experiencia la entrega es rapida.
240;Compre la tv y no me llegaron los controles magicos...
241;Fue un regalo. Le encantó copletsmente
242;No me llegó uno de los productos y me indican que tardarán 22 días en hacerme el reembolso cosa que me parece un total abuso
243;Batería insuficiente problemas con la parte de goma del producto (esta pegajoso)
244;Compre.este producto en enero y genial
245;Gracias gracias gracias gracias gracias gracias
246;Pedí la entrega día lunes entregaron 4 días antes un pedido 1 polo y luego pasando dos dias todo el pedido pero antes de la fecha que puse tuve q pedir q lo reciban por que yo no estaba en mi domicilio en ese momento.
247;Me enviaron los productos con los imanes de seguridad y no pude usarlos tuve que ir a Oeschle para que los retiren
248;Le encantó a mi sobrino la mochila
249;Muy buen servicio y excelente producto
250;No lo recomiendo la tela es de un material sintético
251;LO COMPRE A UN BUEN PRECIO Y PRODUCTO DE BUENA CALIDAD
252;Hacen perder el tiempo al cliente en comprar productos q ofrecen por su página web y al final sin avisar se anula el pedido.
253;No se entiende nada la web es una cochinada imposible de utilizar se para tengo que cerrar 20 veces otra vez abrir y no llega hasta ahora no llega nada muy mala la experiencias de compra con ustedes ahora no se si ba llegar encima va llegar cuando nadie lo va poder recoger ni nada.
254;Bonitas pero las pedí en talla 34.5 y me ha llegado en talla 36 y las quería para el colegio de mi hija
255;compre el producto y me llego el mismo dia! amé
256;RECIEN COMPRE MI MOCHILA EN LA TIENDA DE OECHSLE PLAZA NORTE Y EL MATERIAL ES SUPER BUENO ADEMAS ES EXPANDIBLE PATRA METER ROPA Y MI LAPTOP (CUANDO VIAJO). REALMENTE LA RECOMIENDO
257;Fue una sorpresa para mi hermano que el gorro Malabar fuera reversible. Así lo puede combinar con todos sus outfits y estar protegido del sol.
258;EL PAQUETE LLEGO ROTO. SE DEBE TENER MAS CUIDADO YA QUE EL PAQUETE DEBE LLEGAR DEBIDAMENTE CERRADO SIN ROTURAS
259;Compre unas baleribas y me llamaron a decir q no había stock
260;Cuando pague por el producto aparecía en la página con disponible y luego me indica compra no disponible
261;Confiable rápido seguro y recibes conforme la descripción del producto.
262;Página no ayuda no se puede comprar
263;Me encanta súper cómodas las adidas y mejor con la ¡experiencia Oechsle!
264;Me encanta estás maletas son lo mejor
265;Me encanta corre super bien y sin fallas
266;compre zapatillas escolares 2 modelos y llegaron a mi domicilio en 2 tallas distintas a lo que había comprado y al hacer el cambio en tiendas fisicas se llego a ver en sistemas que no habían las tallas que compre en ninguna tienda osea me mandaron cualquier cosa simplemente para que me lo quede....  son de lo peor... uno pierde tiempo y dinero en taxis y encima no te devuelven el pago de entrega a domicilio.... malisima atención
267;Es de buena calidad pero la talla no es acorde ... la cintura no corresponde a la talla es muy pequeña ... ya q el tiro y las piernas si ..
268;La falda vino mal cocida y el cierre esta malogrado
269;cuando hice la compra coloqué los datos para que otra persona vaya a recoger el producto pero cuando fue la persona no le entregaron el producto aduciendo que no habia autorizacion para que lo recoja es la segunda vez que me pasa cuando compro por internet tuve que llamare para hacer el cambio de la persona que recoje el pedido porque dijeron los de la tienda que estaba a mi nombre.
270;No son del todo iguales a las fotos es color azul noche en las letras pero aparte de eso buena calidad
271;Feliz compre este producto pero al final me cancelaron la compra no me dieron el motivo
272;Más efectivo que en presencial
273;Compre este producto hoy y mi esposa quedó encantada
274;Los colores son un poco más vivos de los que aparecen en la foto. Usualmente uso talla S compré esa talla y todo ok con el fit.
275;Casuales cómodas y bonitas!!!
276;Mi producto es de buena calidad y me gustó mucho
277;Es muy práctico para espacios pequeños
278;Es sencilla pequeña y bonita me agrado la cartera
279;Aún no me llega pero sé que no me arrepentiré
280;Buena calidad de construcción y de sonido todo original.Tener en cuenta que en algunos celulares android los botones de subir y bajar volumen no funcionan pero de ahí el resto todo excelente ✌️.
281;Compre el producto en línea pero no me ayudaron ni contestan cuando se les requiere hacer una consulta para un servicio por teléfono es una pena. Gente ineficiente.
282;Compré éste producto la semana pasada me enviaron correo de pedido recibido y a las horas me envían otro correo donde cancelan el pedido y procederán a la devolución del dinero cancelado por los productos ya que fueron dos pijamas las que compré
283;No se como hacer para que me devuelvan el dinero de la compra que cancelaron
284;Me encantaron mis productos oeschle
285;buen producto y facil de usar con muchas funciones
286;Exelente muy buena calidadUn entalle perfectoMe gusto el color Blanco
287;Buenas ofertas. rápido acceso.
288;Compré este producto y no trae las indicaciones de armado de la mesa trae de otros diseños de mesa pero de ésta no. Le faltan los agujeros para armarlo se requiere de taladro para hacer las perforaciones que no las incluye. Sillas inestables. Pagué armado nunca llegó. Pasaron 3 días fui a reclamar y supuestamente me han devuelto aún no aparece en mi tarjeta.
289;Debió llegar el 02/03 y nadie se comunicó conmigo para darme información y sus opciones en el teléfono ninguna sirve para este tipo de consultas
290;llego rapidisimo y en buen estado
291;Hicieron la entrega conforme lo acordado y llegó el producto que solicité.
292;Me cancelaron el pedido apesar de pagarlo antes
293;Lo que no me gustó mucho es que haya llegado con 2 piochas... aparte de eso todo muy bueno
294;Muy buena oferta producto original
295;Que no me cancelen mi pedido ya son dos veces que lo hacen
296;98 por ciento algodón y 2 por ciento elastano. Cómodo y bonito color. Ni muy suelto ni muy ajustado.
297;Me cancelaron la compra  😖 😔😖
298;No se deposita en las líneas de expresión. No se ve acartonado. Se ve super natural. La piel se ve piel no se ve reseca.
299;Gran descuento y gran atención
300;El material de la tela es fresca y suave como se deseaba. Gustó mucho.
301;Compré el mueble no indicaba armado y todos los canales de atención fueron incompetentes para tratar de resolver el asunto
302;Siempre compro por la web y nunca me han salido mal los productos.Es la primera vez que me pasa. Las prendas estaban descosidas uno de los polos como picados por insectos.
303;El colaborador se desistió a que se revise el producto y así mismo en poder vaporizar la prensa ya que se encontraba compactada en una bolsa nada aceptable
304;Compré este producto por la buena calidad
305;Me gusta lo económico y está zapatilla cumple solo que la plantilla debe mejorarse un poco y espero que baje y retorne el color negro.
306;El modelo es lindo pero vinieron falladas
307;Pedido llegó bien rápido y es de buena calidad
308;Buena y rápida atención. Recomendable
309;Muy buena y rápida la atención
310;Me encanto está muy bonito el color tal cual fácil de armar y me llegó muy temprano. Contenta con la compra.
311;El biberón vino roto y aparentemente se ven reparados. No es.un producto nuevo.
312;Poner artículos con precios tentativos y uno compra  luego te llaman que ya no hay el producto y te devuelven la plata como a los 3 meses
313;No me dijeron el por qué ni nada. Hasta ahora no me han devuelto en cuenta el dinero pagado. Pésima atención.
314;Esta muy bonito y didáctico para los niños. Es fácil de transportar
315;Me encantaes comodiiiiiiisimo
316;Compra fácil a través de la app con buen descuento facilidad de recojo cerca a mi casa y buena calidad de la zapatilla a buen precio. Muy conforme con todo
317;Es la segunda vez q me despachan mal. El modelo q me entregaron no es el modelo q escogí.
318;El día 01 de marzo fui a recoger los productos pedidos pero solo me entregaron uno de ellos el enterizo malabar no lo recogí porque me dijeron que aún no había llegado a la tienda
319;Excelente  soy de pocas palabras
320;Compré este producto hace unos días facturaron el producto y el día que tenia que ir a recoger me llamaron y me dijeron que no había stock.
321;El pantalón muy bonito la talla es exacta y el material de primer
322;Compra rápida  llego sin problemas
323;Llego rápido excelente entrega
324;Me pueden contactar ya que ya no funciona y lo compre hace un mes
325;Super rápido todo me encanto la facilidad
326;Rayaron mi piso y dejaron mal ubicado mi tv y se rompió estoy buscando donde hacer mi denuncia formalmente
327;Es una cartuchera espaciosa llegó al día siguiente de la compra a primera hora del día excelente servicio.
328;A mi esposa le encantó el vestido verde y el S le quedó Perfecto aún cuando el recomendador decía M.
329;Compre varios productos este mes y todos fueron cancelados
330;muy buen producto robusto bonito y fácil de montar
331;El producto cumple con las características que solicitaba. El auto del delivery me sorprendió que viniera muy sucio si hubiera sido comestible lo que pedí no lo hubiera recibido.
332;Compré un vestido por la aplicacion y al siguiente dia me cancelaron el pedido sin ninguna explicacion.
333;Tenía dudas sobre el material por parecer plástico pero si es muy parecido al vidrio es más es difícil de diferenciar el vidrio de la cal sodada
334;Estéticamente me gustó mucho. pero cuando llegaron y me los puse no quería dejar de usarlos
335;Hasta ahora se ve bien el producto espero resulte ser lo que espero.
336;Excelente y cómodo para el colegio gracias
337;Perfecta para preescolar a mi peque le encantó
338;Ponen como eferta pero creo es solo para que ingresen en su aplicativo xq lo compre y no lo tienen mal
339;Compre este producto el año pasado y me pareció bueno bonito y barato
340;Entrega rápida durante la mañana. Recomendadísimo!!!!
341;Nunca lo entregaron  cancelaron la orden.
342;Compre este producto me llegó antes rapidito
