ID;Review text
93;La facilidad de uso es otro punto fuerte de los productos Madesa. Ya sea en el montaje inicial o en el uso diario este producto está diseñado para ser intuitivo y conveniente mejorando la experiencia del usuario en cada paso
94;La versatilidad es una característica clave de los productos Madesa. Este artículo se adapta fácilmente a diferentes espacios y necesidades brindando funcionalidad y estilo en un solo paquete.
95;Construcción sólida y confiable que brinda tranquilidad a largo plazo.
96;Los productos de Madesa siempre destacan por su calidad excepcional. Este producto en particular no es una excepción
97;Compre este producto y me encanta es comodo me gusta
98;RÁPIDO ENCENDIDO Y DURADERO EFICIENTE
99;COMPRE EL PRODUCTO HACE UNOS DIAS Y ME ENCANTO
100;Madesa continúa ofreciendo una excelente relación calidad-precio con este producto. Obtienes un nivel de calidad premium a un precio accesible lo que lo convierte en una opción inteligente para quienes buscan durabilidad y estilo sin gastar demasiado.
101;Este ropero Madesa es una combinación perfecta de estilo y funcionalidad. Su diseño elegante se integra a la perfección en mi espacio mientras que su capacidad de almacenamiento me ha permitido organizar mi ropa de manera eficiente. ¡Muy recomendado!
102;Equilibrio perfecto entre belleza estética y utilidad práctica.
103;Me gusta  aunque aún no lo recibo
104;Excelente relación calidad-precio proporcionando calidad a un precio asequible.
105;compre este producto y los hilos estaban salidos con algunas partes mal cosidas
106;Me gustaron mucho super lindas y cómodas la talla 38 es precisa.
107;Me gusta la facilidad de comprar por medios e la web
108;El producto llegó con fallas y atención al cliente nunca me dio alguna solución .. estafa total !
109;Buen precio buen descuento tiempo de espera muy pequeño el producto nuevo y muy bonito
110;Me cobraron de los productos y después de un día me llaman a decir q no lo tienen y hasta ahora no me devuelven mi dinero 😡
111;No me llegó el producto a pesar q ya me facturaron el transportista una porqueria
112;No me vino el control remoto mágico como señalaba la promoción
113;FANTASTICO LLEGO EN EL DIA INDICADO.
114;Compré las zapatillas hace unos días y me encantó son súper cómodas combinables con varios estilos de vestir y muy bonitas.
115;Compré el producto hace unos días me gustó el diseño aunque la tela no me convenció tanto pero fuera de eso bueno producto.
116;Tiene que estar en colores oscuros como negro verde azul
117;Me encanta todo desde que compro hasta cuando me lo entregan muy eficaz
118;Pésimo .... me cancelaron mi pedido sin motivo alguno
119;Están muy cómodas y bonitas el color me gusta la talla está bien
120;El producto es exactamente como el que se muestra en las fotos de referencia
121;Las tallas no coinciden con las medias que figuran en la guía de la página web tuve que cambiar el producto por una talla más grande porque no me quedó como esperaba
122;Me gustó el modelo como el de la foto
123;Compré una máquina de coser de juguete y me enviaron una waflera de juguete. Llevo ya 5 días y aún no me hacen el cambio.
124;Justo la tela y color que queria
125;Me gusta por qué respetan el precio del producto hasta el momento no me han cancelado ningún producto
126;Me dieron una talla que no era
127;Deben de ofertar productos en buenas condiciones el hecho de ser liquidación no significa vender productos en malas condiciones.
128;Bonitos detalles tal cual la publicación
129;cancelaron mi compra sin dar una explicación razonable
130;Me la cancelaron y me.mandan correo y no ponen el porq de la cancelacion solo ponen se cancelo pésimo
131;Excelente producto pero la página web por donde lo pedí es muy lenta y no me dejó aplicar el descuento oeapp no se porque la entrega fue el mismo día un éxito pero recalco la app muy lenta y no me dejo aplicar un descuentp
132;Compré el producto hace unos días y me cancelaron la entrega.
133;el peor producto que jamás volvería a comprar es una zapatilla descartable para usar solo una vez a la primera lavada se malogra. todo desilachado y ya no sirve. recomendación lo no compren esta marca de mala calidad
134;Excelente servicio recomendadisimo.
135;LO COMPRE RECIEN Y BUEN MATERIAL ORIGINAL
136;Me gusto mucho el reloj tiene varias funciones. Los audífonos son bien prácticos. Estoy contenta con el producto
137;La talla es tal cual lo informan.
138;Todo muy rápido y eficiente. Muy amable el personal.
139;Excelente producto en buen estado
140;Es la segunda vez que pido un producto y luego cancelan mi pedido estoy al espera de un reembolso
141;No recibí un mensaje a mi correo para confirmar el retiro de mi compra.Ví en la web y decía que ya podía recoger mis productos. Fuí al lugar y me dijeron que no hay nada.
142;Lo pedí pero finalmente no lo facturaron y nisiquiera me avisaron
143;FUE UNA AGRADABLE EXPERIENCIA RAPIDA Y CO TODA LA INFORMACION NECESARIA
144;Compre dos roperos y solo me dieron 1 se cobraron 2 y el trato es pesimo
145;Me encanta el Producto  talla  modelo y color
146;Las zapatillas están hermosas . Tal cual como aparece en la publicidad
147;Nunca llego el producto uno compra y luego lo cancelan
148;Incapacidad de corregir datos de envío y posterior retraso en entrega de producto
149;La entrega fue super rapida las zapatillas son comodas muy bonitas y el precio super accesible
150;Pedi en talla 37 y me dieron en talla 38 1/3 me fui a cambiar y me dieron en 37 1/3 y me queda muy grande 😔☹️. No sé si podría hacer cambio de nuevo 😔😔
151;compre hace unos dias el producto y muy util para mi necesidad
152;lo compro virtual el producto pq me sale disponible en tienda y cuando leo el correo enviado me sale q la fecha APROXIMADA de recojo en tienda es a fin de mes todavía.PÉSIMO
153;Me gustaron porque se veen elegantes
154;En la descripción de este producto dice que viene instalado y armado a diferencia de otros roperos
155;Sobre los productos no doy detalle xq el mío aún no ah llegado ..
156;lo compré y es tal cual la foto
157;Está bonito la zapatilla me encantó
158;El equipo tiene las características descritas en su página web conforme con la compra
159;Se ve que es un producto bastante bien manufacturado y con materiales fuertes
160;Lo compre en este tono hace un tiempo y ya me lo acabo. Yo ya conocía su consistencia y todo y normal. Ya sé que es bueno. Este tono me queda bien y yo soy blanca. Es amarillo me gusta para contrarrestar las rojeces un poco y obvio la ojeras. Para pieles muy oscuras no recomiendo. Diría de claras a medias. Cobertura media hay que sellarlo pero antes dejar que se asiente en arrugas. Luego quitar el exceso con el dedo y después sellarlo.
161;Es una decepción comprara en oeschle te envian productos para recoger a distintas direcciones y encima envían mensajes de código sin indicar el tipo de compra es un desorden total por eso la gente no quiere comprar.
162;Tal cual la foto bonito acabado y modelo
163;Compré el blazer hace una semana y tiene un corte y entalle perfecto. Recomendable.
164;La compra muy bueno y excelente la entrega
165;Compré mi tv y me encanta por el servicio q nos dan al cliente
166;Me cancelaron el pedido. No dieron motivo
167;Pedí una talla y me mandaron otra cuando voy a cambiar el producto ya no había ningún talla. Encima perdí tiempo pasaje flete. Una estupidez
168;Lo trajeron muy rapido y esta tal cual esta en el anuncio
169;Compré este producto (zapatillas)hace dos días muy buena compra
170;Lo compre ayer veremos cómo va
171;compre este producto y no llego la talla que solicite y el empaque en mal estado.
172;Me cancelaron la compra a pesar de aparecer como disponible en la App.
173;Muy pequeño de la parte de adelante
174;Lindo color buen armado y corte buena calidad talla completa. Soy talla 30
175;Compre un producto que están en la web y al día siguientes me dicen que no tienen en stock. Y fácilmente hacen la devolución de dinero.
176;Compré un libro Corefo 4 años con retiro en tienda. La fecha programada fue para el 12 de marzo  y hasta ahora nada.
177;Hace tiempo compré otra y tiene buen rendimiento
178;Rápida atención. Y muy buena tambien
179;Súper cómodas bonitas y casuales para todos los looks!
180;Buenos productos buenos precios
181;Me siento satisfecha con el producto elegido
182;Siempre lo compro ahí a buen precio
183;El material es bueno y cómodo  envío rápido.
184;Estoy encantado con oeschle gracias por sus buenos precio y promociones y respetar al cliente
185;Estoy feliz con mis zapatos lindo modelo
186;Pedí una talla y me mandaron otra y por este motivo perdí el 20% adicional con el app de oeschle ya que use el cupón en esa compra
187;Compre este producto y me encanto me llego tal y cual a la foto.
188;La compra se realizo con éxito sin embargo la cancelaron
189;Con respecto al producto su tirante estaba descosido tuve que regresar a la tienda para que me cambiarán de producto porque cuando lo utilice se salió el tirante. Y eso que lo revise antes de llevármelo al parecer estaba apenas la cosida. Molestias con el personal ya que la srta estaba tan despistada que olvidó darme mi dni y ni contar que cuando le di mi dni lo puso en su mesa de una manera muy tosca.
190;Amo este producto es mejor de lo q pensaba
191;Me entregaron otra talla diferente a la compra
192;Compré el producto y fui rechazado y no me enviaron ningún correo explicando los detalles.
193;Compré estas sandalias por su comodidad de uso.Muy descansados
194;Equipo cumple con mis expextativas
195;Hice la compra por la oferta pero me cancelaron la compra según ellos por qué mi banco retuvo el importe se llamo al banco y no hay dicha retención lástima por esta empresa
196;Compré este producto y me encanta
197;mala experiencia lo que quise comprar ...no todo estaba disponible para recoger ni enviar y lo único que compre lo cancelaron
198;La calidad del producto es buena lo devolví por que el producto me quedó grande.
199;Me gustó que sean tan rápidos con los pedidos por internet
200;Compré este producto esta semana. Buena calidad y muy buen precio.
201;Nada me entregaron son unas mierd
202;me cancelaron el pedido no me informan y no me devuelven mi plata.
203;Compré un par de zapatillas por la web escogiendo la talla con los centímetros descritos que se acomodan a mi y resulta que no que son muy estrechos pésimas medidas de Oeshle
204;Feliz con mi compra.  Mil Gracias
205;Me encantó mi zapatillas !!Están muy bonitas.Gracias
206;Lo compré para mi madre y está contenta por más zapatillas. Recomendadas.
207;TALLA COMPLETA ESTOY SATISFECHA CON MI COMPRA.
208;Lo probé en la tienda estoy a la espera de la entrega. El proceso de compra online fue preciso y la boleta de compra me llegó en los tiempos acordados con información constante sobre el estado de mi compra
209;Me llego en la fecha indicada y el producto buena calidad
210;CANCELARON MI PEDIDO DE LA NADA CUANDO YA ESTABA CONFIRMADO MI PAGO Y YA ME DEBITARON DE LO TARJETA
211;seria mejor si pudieramos elijir la entrada del audifono ya que casi tenemos celulares actualizados gracias
212;No deberían de cobrar el envío por cada prenda no me parece debe de ser un solo pago x tus comprar no x unidad
213;Compre el producto y no me llegó el tv
214;Compre estos productos porque ya tengo otros colores y son excelentes
215;Siempre compro este producto y siempre en ofertas
216;Todo excelente me encanta sus descuentos.
217;Compré este producto el dia 11/03 y a pesar de pagar dentro de horario y todo me cancelaron la compra sin motivo alguno al día siguiente. Para que ponen ofertas si no cumpliran con la entrega es publicidad engañosa.
218;Pero no hay talla pequeñas 38 39
219;Hice la compra de una promoción y me cancelaron la compra sin motivos  exijo me respeten el precio y cumplan con la entrega de la TV 70 QLED ya que si hubo o no error de digitacion eso es tema de su empresa y deben respetar lo publicado se supone que hoy era la entrega de mi compra pero me siento engañado espero tener una respuesta por parte de ustedes.
220;Compre este producto y me anularon la compra
221;Me cancelaron el producto  y no me dijeron por qué
222;Compré éste producto y estoy feliz
223;El productos estubo a precio justo
224;Lindo diseño y hermosa tela Hay mucha diferencia de calidad  entre las marcas Sfera es de alta calidad
225;Compré este producto hace un dia
226;Hermosa mochila espaciosa si color es bonito tal cual muestra la foto
227;Buen acabado pero la tela es delgada y se nota que es calidad
228;La camisa que recibí estaba amarillenta como si hubiese estado mucho tiempo guardada.
229;Compre el producto ayer lo recogí y llegue a casa y el taper vino fallado no cierra
230;El producto es tal cual como se ve en la foto. Es bueno resistente y lindo. Lo malo fue que compré el servicio de armado online pero el personal que hace la entrega no es el mismo que hace el armado y programan el armado para 24/48hs desde la entrega. Tuve que cancelar el servicio de armado porque no podia demorar otro día para esperarlos.
231;Buen servicio a la hora de la rapidez y eficacia
232;Me encantó no se pegan y salen las donas esponjositas
233;En la imagen dice regalo un control mágico pero nunca me llego el control magic
234;Llego en menos de lo esperado costo de envio bastante bajo. Me ahorro tiempo y dinero. Gracias.
235;Quisimos comprar el paddle e intentamos como 10 veces. Siempre nos cancelaban la compra. Pésimo.
236;La atención en el centro comercial fue grata
237;Pedí los cubiertos para mi pequeño y me llegaron otro modelo de otra marca y para niña.
238;lo encontré rápido y compre fácil
239;Compre  de manera online y me gustó el buzo muy bonito y la atención al recoger el buzo fue excelente. Muy rápido y eficiente la atención en megaplaza oechsle.  El único detalle fue que la página si me estaba demorando en realizar la compra pero después de muchos intentos si lo pude comprar 👍👍👍👍😃
240;Indignada que me hayan cancelado el producto
241;La tela está bien no es gruesa y tampoco delgada que se trasparenta. Ideal para cuando tienes que trabajar en verano
242;Compre 3 productos estuvieron disponibles al segundo díaEstoy muy contenta por eso y por el trato de la srta. que atiende en la entregaBien por eso !!
243;Igual que la foto super cómodas
244;Bueno de acuerdo a su precio ofrecido
245;Ya se cobraron y hasta ahora no dicen si me reembolsaran cuando o me darán el producto. Encima nadie contesta. No compro más x la web.
246;Compre un producto por internet y me lo cancelan después de un día mala atención deberían de actualizar su página cobran el producto y después tenemos que esperar días para la devolución del dinero. Es pésima
247;compre el enterizo la semana pasada y me gusto aunque me quedo un poco grande
248;El producto cumple todas las expectativas propias de la marca el color es muy bonito parece un tono beige o nude estoy feliz con la compra.
249;En dos ocasiones compre el producto y después de una semana me dicen que no hay stockpero lo siguen publicando x web
250;Puse la opción de armado de bicicleta con cobro hasta el momento no se han contactado para completar el servicio
251;Lo pedi por delivery pero solo es el camisón no es la parte de abajo final de la falda como se ve en la foto ni tampoco viene el cinturón.
252;Me gusto la mochila muy bonita
253;Compre el producto y cuando lo prendí solo funciono como tres minutos y después de eso solo prende la luz pero no depila.
254;Hola! Me puedes compartir por favor las medidas de la cartera quiero saber si entra mi laptop
255;Pésimo servicio pusieron en venta una zapatillas que ellos mismos cancelaron la compra aún no hacen la devolución.
256;Muy bueno conforme a las especificaciones se ve bastante sólido y bien construido funciona bien con Laptop de 15.6. Lo recomiendo.
257;Me gustó mucho la rapidez y seguridad del envio
258;Compre este producto y llego a tiempo y en buen estado leo joven de atención fue muy respetuoso y gentil.
259;El equipo vino sellado y en buen estado.
260;Plataforma de compra muy amigable rápida y segura.
261;Entrega rápida la talla está bien. En resumen 🤑🤑
262;Compré mi producto y llegó bastante rápido y en excelentes condiciones
263;Chevere estuvo bien la compra  y el producto
264;Buena Experiencia súper rápido todo
265;Ya van dos veces que realizo compra de zapatillas con ustedes y me mandan la talla diferente a lo que pido cuando llamo y les consulto porque lo hacen me indican es que la talla que solicito se acabó  entonces si no tienen lo que solicité no me envíen nada para no perder mi tiempo yendo a cambiar a unas de sus tiendas  estoy cansado de su poca consideracion
266;Mw encanta recien rstoy usandolo
267;Es fresca para el verano talla completa.
268;Un polo de los que pedí vino con hueco.. encima tuve que yo ir a reclamar a uña tienda y eso es para Ami una perdida de tiempo.
269;Recién me llego ayer aun no lo pruebo
270;bonita experiencia la entrega es rapida.
271;Compre la tv y no me llegaron los controles magicos...
272;Fue un regalo. Le encantó copletsmente
273;No me llegó uno de los productos y me indican que tardarán 22 días en hacerme el reembolso cosa que me parece un total abuso
274;Batería insuficiente problemas con la parte de goma del producto (esta pegajoso)
275;Compre.este producto en enero y genial
276;Gracias gracias gracias gracias gracias gracias
277;Pedí la entrega día lunes entregaron 4 días antes un pedido 1 polo y luego pasando dos dias todo el pedido pero antes de la fecha que puse tuve q pedir q lo reciban por que yo no estaba en mi domicilio en ese momento.
278;Me enviaron los productos con los imanes de seguridad y no pude usarlos tuve que ir a Oeschle para que los retiren
279;Le encantó a mi sobrino la mochila
280;Muy buen servicio y excelente producto
281;No lo recomiendo la tela es de un material sintético
282;LO COMPRE A UN BUEN PRECIO Y PRODUCTO DE BUENA CALIDAD
283;Hacen perder el tiempo al cliente en comprar productos q ofrecen por su página web y al final sin avisar se anula el pedido.
284;No se entiende nada la web es una cochinada imposible de utilizar se para tengo que cerrar 20 veces otra vez abrir y no llega hasta ahora no llega nada muy mala la experiencias de compra con ustedes ahora no se si ba llegar encima va llegar cuando nadie lo va poder recoger ni nada.
285;Bonitas pero las pedí en talla 34.5 y me ha llegado en talla 36 y las quería para el colegio de mi hija
286;compre el producto y me llego el mismo dia! amé
287;RECIEN COMPRE MI MOCHILA EN LA TIENDA DE OECHSLE PLAZA NORTE Y EL MATERIAL ES SUPER BUENO ADEMAS ES EXPANDIBLE PATRA METER ROPA Y MI LAPTOP (CUANDO VIAJO). REALMENTE LA RECOMIENDO
288;Fue una sorpresa para mi hermano que el gorro Malabar fuera reversible. Así lo puede combinar con todos sus outfits y estar protegido del sol.
289;EL PAQUETE LLEGO ROTO. SE DEBE TENER MAS CUIDADO YA QUE EL PAQUETE DEBE LLEGAR DEBIDAMENTE CERRADO SIN ROTURAS
290;Compre unas baleribas y me llamaron a decir q no había stock
291;Cuando pague por el producto aparecía en la página con disponible y luego me indica compra no disponible
292;Confiable rápido seguro y recibes conforme la descripción del producto.
293;Página no ayuda no se puede comprar
294;Me encanta súper cómodas las adidas y mejor con la ¡experiencia Oechsle!
295;Me encanta estás maletas son lo mejor
296;Me encanta corre super bien y sin fallas
297;compre zapatillas escolares 2 modelos y llegaron a mi domicilio en 2 tallas distintas a lo que había comprado y al hacer el cambio en tiendas fisicas se llego a ver en sistemas que no habían las tallas que compre en ninguna tienda osea me mandaron cualquier cosa simplemente para que me lo quede....  son de lo peor... uno pierde tiempo y dinero en taxis y encima no te devuelven el pago de entrega a domicilio.... malisima atención
298;Es de buena calidad pero la talla no es acorde ... la cintura no corresponde a la talla es muy pequeña ... ya q el tiro y las piernas si ..
299;La falda vino mal cocida y el cierre esta malogrado
300;cuando hice la compra coloqué los datos para que otra persona vaya a recoger el producto pero cuando fue la persona no le entregaron el producto aduciendo que no habia autorizacion para que lo recoja es la segunda vez que me pasa cuando compro por internet tuve que llamare para hacer el cambio de la persona que recoje el pedido porque dijeron los de la tienda que estaba a mi nombre.
301;No son del todo iguales a las fotos es color azul noche en las letras pero aparte de eso buena calidad
302;Feliz compre este producto pero al final me cancelaron la compra no me dieron el motivo
303;Más efectivo que en presencial
304;Compre este producto hoy y mi esposa quedó encantada
305;Los colores son un poco más vivos de los que aparecen en la foto. Usualmente uso talla S compré esa talla y todo ok con el fit.
306;Casuales cómodas y bonitas!!!
307;Mi producto es de buena calidad y me gustó mucho
308;Es muy práctico para espacios pequeños
309;Es sencilla pequeña y bonita me agrado la cartera
310;Aún no me llega pero sé que no me arrepentiré
311;Buena calidad de construcción y de sonido todo original.Tener en cuenta que en algunos celulares android los botones de subir y bajar volumen no funcionan pero de ahí el resto todo excelente ✌️.
312;Compre el producto en línea pero no me ayudaron ni contestan cuando se les requiere hacer una consulta para un servicio por teléfono es una pena. Gente ineficiente.
313;Compré éste producto la semana pasada me enviaron correo de pedido recibido y a las horas me envían otro correo donde cancelan el pedido y procederán a la devolución del dinero cancelado por los productos ya que fueron dos pijamas las que compré
314;No se como hacer para que me devuelvan el dinero de la compra que cancelaron
315;Me encantaron mis productos oeschle
316;buen producto y facil de usar con muchas funciones
317;Exelente muy buena calidadUn entalle perfectoMe gusto el color Blanco
318;Buenas ofertas. rápido acceso.
319;Compré este producto y no trae las indicaciones de armado de la mesa trae de otros diseños de mesa pero de ésta no. Le faltan los agujeros para armarlo se requiere de taladro para hacer las perforaciones que no las incluye. Sillas inestables. Pagué armado nunca llegó. Pasaron 3 días fui a reclamar y supuestamente me han devuelto aún no aparece en mi tarjeta.
320;Debió llegar el 02/03 y nadie se comunicó conmigo para darme información y sus opciones en el teléfono ninguna sirve para este tipo de consultas
321;llego rapidisimo y en buen estado
322;Hicieron la entrega conforme lo acordado y llegó el producto que solicité.
323;Me cancelaron el pedido apesar de pagarlo antes
324;Lo que no me gustó mucho es que haya llegado con 2 piochas... aparte de eso todo muy bueno
325;Muy buena oferta producto original
326;Que no me cancelen mi pedido ya son dos veces que lo hacen
327;98 por ciento algodón y 2 por ciento elastano. Cómodo y bonito color. Ni muy suelto ni muy ajustado.
328;Me cancelaron la compra  😖 😔😖
329;No se deposita en las líneas de expresión. No se ve acartonado. Se ve super natural. La piel se ve piel no se ve reseca.
330;Gran descuento y gran atención
